"lot_kind","article_kind","article_id","order","rarity","visible","image_url","description","num"
0,4,10011,516,5,0,,"10011 冥府之印章 *2",2
0,0,369,515,5,0,,"369 β型渦探知機 IV",1
0,0,55,514,5,0,,"55 青之寶石袋",2
0,0,8,513,5,0,,"8 跳越星 *3",3
0,0,12,512,5,0,,"12 超時空沙漏 *3",3
0,0,10,511,5,0,,"10 複製券",1
0,0,36,510,5,0,,"36 Ex月之大陸通行證3 *4",4
0,0,33,509,5,0,,"33 Ex影之大陸通行證3 *4",4
0,1,769,508,5,0,,"769 娜汀的上衣",1
0,1,768,507,5,0,,"768 娜汀的褲子",1
0,1,767,506,5,0,,"767 娜汀的涼鞋",1
0,1,360,505,5,0,,"360 C.C.的鞋子",1
0,1,359,504,5,0,,"359 C.C.的緊身短褲",1
0,1,358,503,5,0,,"358 C.C.的上衣",1
0,1,363,502,5,0,,"363 泰瑞爾的鞋子",1
0,1,362,501,5,0,,"362 泰瑞爾的褲子",1
0,1,361,500,5,0,,"361 泰瑞爾的上衣",1
0,4,435,419,4,0,,"435 庫恩 L5",1
0,4,415,418,4,0,,"415 康拉德 L5",1
0,4,405,417,4,0,,"405 音音夢 L5",1
0,4,395,416,4,0,,"395 凱倫貝克 L5",1
0,4,375,415,4,0,,"375 伊芙琳 L5",1
0,4,355,414,4,0,,"355 C.C. L5",1
0,4,345,413,4,0,,"345 沃蘭德 L5",1
0,4,335,412,4,0,,"335 史塔夏 L5",1
0,4,325,411,4,0,,"325 魯卡 L5",1
0,4,305,410,4,0,,"305 瑪爾瑟斯 L5",1
0,4,295,409,4,0,,"295 布朗寧 L5",1
0,4,285,408,4,0,,"285 阿修羅 L5",1
0,4,275,407,4,0,,"275 帕茉 L5",1
0,4,265,406,4,0,,"265 佛羅倫斯 L5",1
0,4,255,405,4,0,,"255 沃肯 L5",1
0,4,235,404,4,0,,"235 里斯 L5",1
0,4,225,403,4,0,,"225 蕾格烈芙 L5",1
0,4,215,402,4,0,,"215 薩爾卡多 L5",1
0,4,195,401,4,0,,"195 艾妲 L5",1
0,4,185,400,4,0,,"185 羅索 L5",1
0,4,735,311,3,0,,"735 里卡多 L5",1
0,4,725,310,3,0,,"725 維若妮卡 L5",1
0,4,655,309,3,0,,"655 伊普西隆 L5",1
0,4,645,308,3,0,,"645 蕾塔 L5",1
0,4,635,307,3,0,,"635 格雷高爾 L5",1
0,4,365,306,3,0,,"365 格雷高爾 L5",1
0,3,5024,305,3,0,,"5024 鐵之妖精的浮雕 *3",3
0,3,11,304,3,0,,"11 詛咒短劍",1
0,3,12,303,3,0,,"12 詛咒彈藥",1
0,3,13,302,3,0,,"13 詛咒戒指",1
0,3,256,301,3,0,,"256 滅龍叉",1
0,3,204,300,3,0,,"204 獸人毀滅者",1
0,2,6,202,2,0,,"6 劍6卡",1
0,2,7,201,2,0,,"7 劍7卡",1
0,2,15,200,2,0,,"15 槍7卡",1
0,3,17,102,1,0,,"17 黑的槍劍",1
0,3,19,101,1,0,,"19 黑的短劍",1
0,3,21,100,1,0,,"21 黑的彈藥",1
1,4,10011,516,5,0,,"10011 冥府之印章 *5",5
1,0,82,515,5,0,,"82 記憶的書籤R1",1
1,0,369,514,5,0,,"369 β型渦探知機 IV",1
1,3,5025,513,5,0,,"5025 銅之妖精的浮雕 *3",3
